country	time	s_hat	s_var	C_bq1_bst	C_ba45_bst	C_bq1_biv	C_ba45_biv	C_bq1_ba1	C_ba45_ba1	C_bq1_ba2	C_ba45_ba2	C_bq1_ba45	C_ba45_ba45	C_bq1_bq1	C_ba45_bq1
ITALY	44928	0.032	1.98e-05	0.01680838871661587	0.046117431307744434	0.051589373222707145	0.05421136997065232	8.81011923995597e-05	0.00062237772285115	0.0005833211384533723	0.0030231899743507614	0.007176061103812815	0.02004589809953076	0.006887721020543937	0.008051134251189715
ITALY	44935	0.028	2.9e-05	0.015323610297918842	0.04247813659713263	0.052702138164335735	0.055608109220921874	7.963746302194107e-05	0.0005629018993239002	0.0005279037345555721	0.0027493204468010675	0.00666614311146241	0.019158877981183108	0.007220796927035357	0.008519142926502594
ITALY	44942	0.026	3.87e-05	0.013958422492194254	0.0390821491061581	0.05436280643138013	0.057590118619155785	7.198420879371046e-05	0.000509069410874989	0.00047769422067013724	0.002498940444166928	0.006176110138563626	0.01826229757504308	0.007432862727971359	0.008863600808499563
ITALY	44949	0.022	4.29e-05	0.012708607379644153	0.03592989392737088	0.05540101266129712	0.05896421623117781	6.506198526966683e-05	0.000460341521754091	0.00043219911353248357	0.0022702229183257866	0.005708139156632582	0.017363282507802166	0.007503953367791626	0.009061521772837975
ITALY	44956	0.023	6.1e-05	0.011565003751625669	0.03300508040440011	0.056107277955746965	0.06002761075858365	5.880519253892792e-05	0.0004162568216077185	0.0003910096015986783	0.0020615406290934854	0.005267247512088004	0.016473384245358453	0.007515975242068964	0.009201578805682032
ITALY	44963	0.022	8.97e-05	0.010519558150566542	0.03029414117814233	0.05628564002298871	0.06058072567952536	5.314786661548862e-05	0.000376367593996555	0.0003537384873748064	0.0018713282917220881	0.00485348163300237	0.015596954176625455	0.007492204410026752	0.00930861750580757
NETHERLANDS	44818	0.077	6.8e-05	0.03353729408599141	0.08966757616624826	0.0	0.0	0.0004296580625183935	0.002969495464198322	0.0027183151337718185	0.012031687776650387	0.01227886184088878	0.023559645682575344	6.260478017237473e-05	8.9483348158143e-05
NETHERLANDS	44825	0.075	3.92e-05	0.030671582705691227	0.0828262055198173	0.0	0.0	0.00038849899521101004	0.002692159009365395	0.0024706953866949805	0.011113858602902503	0.012167358857888144	0.023918120033364736	9.602546824784492e-05	0.00012657918532558312
NETHERLANDS	44832	0.073	2.39e-05	0.028032653187223804	0.07642198360990715	0.0	0.0	0.000351280550661228	0.002440077856976756	0.0022444880335990855	0.010250744309143028	0.012082887481843451	0.02429172582692403	0.00016240324659146557	0.0002002792321770166
NETHERLANDS	44839	0.073	1.63e-05	0.02560479587748358	0.07043916112154185	0.0	0.0	0.00031763701366737616	0.002211118976453586	0.0020382118273323015	0.00944166576829471	0.012095017363002121	0.02478447531977684	0.00029059559520998107	0.00034275941624599827
