country	time	s_hat	s_var	C_ba2_bst	C_ba1_bst	C_ba2_ba1	C_ba1_ba1	C_ba2_ba2	C_ba1_ba2
GERMANY	44665	0.07	4.2e-06	0.49963363943654654	0.4604885667557109	0.0465345174238264	0.07320579325333766	0.03882293500398207	0.02251059461239697
ITALY	44589	0.105	3.98e-05	0.49900695390222494	0.4813252484682145	0.03919746275155515	0.05025076115097051	0.001999348505960555	0.0013145963199926894
ITALY	44596	0.099	1.7e-05	0.528771496067641	0.5089641784626184	0.04775191671949963	0.06182429511804189	0.003771363334635485	0.002461398268810833
ITALY	44603	0.099	1.05e-05	0.5431124372063457	0.5213692805718602	0.053692319043951324	0.07035536138269759	0.006338444981843566	0.004106755959253789
ITALY	44610	0.089	7.3e-06	0.5494400382449207	0.5258217299082439	0.056228517144435775	0.07481393897112953	0.008869367659649097	0.005674613947666517
ITALY	44617	0.082	5.7e-06	0.5517308786171865	0.5262312566788988	0.05684093201303294	0.07695861426086884	0.011553783409127645	0.007297227811685294
ITALY	44624	0.073	5.4e-06	0.551581151466343	0.5241722207486275	0.056463336428722456	0.07790387771234966	0.0145171547987221	0.00905537000341112
ITALY	44631	0.066	5.2e-06	0.5493586092955003	0.5200176276859921	0.05573186813313244	0.07841065659074027	0.018737307979614353	0.011599805683414642
ITALY	44638	0.058	5.2e-06	0.5460880658520703	0.5147831884071618	0.05452392979323853	0.07830768406746641	0.02370477146212187	0.014564443480788473
ITALY	44645	0.056	5.8e-06	0.5413787684399098	0.5081004572788803	0.05284367331453907	0.07757745494803449	0.028624896050432922	0.017405629219291924
ITALY	44652	0.053	7.6e-06	0.5353160868598794	0.5000690084032553	0.050824730233336016	0.07636360633150799	0.033078368940863516	0.01984625533718593
ITALY	44659	0.049	1.1e-05	0.5275190429258678	0.4903344009992822	0.04856335967541877	0.07476606543593621	0.036436811153897394	0.021479881357626903
ITALY	44666	0.054	1.6e-05	0.5194062300845861	0.4803052302075103	0.04619462566005696	0.07293583994728121	0.03927170071161801	0.0227145906679443
ITALY	44673	0.061	2.82e-05	0.5109794218423027	0.47000286794040685	0.04377806597930766	0.07093374968631531	0.041248516417635	0.02334202705276349
ITALY	44680	0.064	5.22e-05	0.5027134079075408	0.4599109499112617	0.04136929780373639	0.06881845530469725	0.04303647382183638	0.023829130411461362
NETHERLANDS	44577	0.089	3.39e-05	0.418658238464906	0.4069553893865001	0.021087689683432824	0.026729143307317096	0.00041005243659459093	0.0002711574801267331
NETHERLANDS	44584	0.084	1.52e-05	0.43557818088694633	0.42243713315832815	0.03173692742638868	0.04046410114276669	0.0011176275024685908	0.0007374844352222634
NETHERLANDS	44591	0.084	7e-06	0.44368232709914684	0.42918471366142236	0.042141609740097195	0.05415328244433155	0.002469416746734964	0.0016208779099035914
NETHERLANDS	44598	0.083	4.6e-06	0.44878300652413455	0.4328985092274483	0.049647817612451864	0.06449152075483575	0.004388756473858162	0.00285720953518339
NETHERLANDS	44605	0.083	3.2e-06	0.4498193578942761	0.43254620467050914	0.05480482332524766	0.07209932668210559	0.007151513992194841	0.004620340078112282
NETHERLANDS	44612	0.084	2.8e-06	0.4482047124718069	0.4295200191079245	0.05661327734946185	0.0756818781429063	0.009666050964848178	0.006163058025662742
NETHERLANDS	44619	0.084	3.2e-06	0.44569483485665357	0.4255455680939684	0.05686407501762767	0.0773897423411504	0.012448411258516376	0.00783713289866076
NETHERLANDS	44626	0.081	3.8e-06	0.44252772521225026	0.42086191462456013	0.0563417041354867	0.07815764867235692	0.015688964598764614	0.00976665466033205
NETHERLANDS	44633	0.076	5.4e-06	0.43868477602159944	0.415458164963681	0.055475761682020626	0.07849448715642687	0.02024363635342351	0.012514444558575975
NETHERLANDS	44640	0.07	8.5e-06	0.4339207840287811	0.4091038572406423	0.05411603995203073	0.0781937984434455	0.02528122601910464	0.015500181203699528
NETHERLANDS	44647	0.067	1.31e-05	0.4285194931000973	0.40208829888825015	0.05231705805273741	0.07730027972001396	0.030135271390849802	0.018271472168167213
NETHERLANDS	44654	0.065	2.16e-05	0.4225908047504491	0.39453212149334105	0.050206647740153244	0.0759511825592226	0.0342781680663221	0.020480570970477566
NETHERLANDS	44661	0.061	3.25e-05	0.4161255503357274	0.3864409185045278	0.04789872046796639	0.07426897049284774	0.03741479256784257	0.021949956294316484
NORWAY	44563	0.102	5.33e-05	0.26394002894265917	0.25553071203473166	0.005671929494462276	0.0071504568098060915	3.560141789144492e-05	2.3398668870052453e-05
NORWAY	44570	0.064	1.1e-05	0.3213031208854631	0.3109107964733845	0.012001577547674707	0.01514916772137876	0.00013519305579743872	8.952143762591246e-05
NORWAY	44577	0.058	4.9e-06	0.38112721683602596	0.3685317584372295	0.021087689683432824	0.026729143307317096	0.00041005243659459093	0.0002711574801267331
NORWAY	44584	0.065	3.6e-06	0.42268329702038937	0.4080975015565577	0.03173692742638868	0.04046410114276669	0.0011176275024685908	0.0007374844352222634
NORWAY	44591	0.067	2.9e-06	0.448587187649168	0.4322006325250944	0.042141609740097195	0.05415328244433155	0.002469416746734964	0.0016208779099035914
NORWAY	44598	0.07	2.6e-06	0.4606756632504648	0.4426637393034667	0.049647817612451864	0.06449152075483575	0.004388756473858162	0.00285720953518339
