time_cut_off	date_cut_off	data_points	gamma_inf_new	b_new
44799	2022-08-27	165	1.6069604389116012	5.768191388461902
44800	2022-08-28	165	1.615517019442336	5.798905270980064
44801	2022-08-29	166	1.6221415345523684	5.822683996383102
44802	2022-08-30	166	1.6306810171590262	5.853336505829449
44803	2022-08-31	166	1.6392204997656847	5.883989015275798
44804	2022-09-01	166	1.6477599823723426	5.914641524722145
44805	2022-09-02	166	1.6562994649790008	5.945294034168494
44806	2022-09-03	166	1.6648389475856589	5.9759465436148425
44807	2022-09-04	166	1.6733784301923171	6.006599053061191
44808	2022-09-05	165	1.6773070628718374	6.020700896916032
44809	2022-09-06	164	1.673775410592648	6.008024015911008
44810	2022-09-07	163	1.6725852729249757	6.003752011647854
44811	2022-09-08	162	1.6719651576082033	6.001526105058341
44812	2022-09-09	159	1.6648838297668986	5.976107648396923
44813	2022-09-10	159	1.6648838297668986	5.976107648396923
44814	2022-09-11	158	1.6638225602590098	5.9722982169460845
44815	2022-09-12	155	1.6577374438423915	5.950455665466785
44816	2022-09-13	154	1.6512948155425085	5.927329823548973
44817	2022-09-14	153	1.6498026286148844	5.921973612171594
44818	2022-09-15	152	1.6475919076808998	5.914038219896263
44819	2022-09-16	150	1.637847654555589	5.879061181505398
44820	2022-09-17	150	1.637847654555589	5.879061181505398
44821	2022-09-18	148	1.6346044024262179	5.8674195140752285
44822	2022-09-19	145	1.6249704626437713	5.83283844590176
44823	2022-09-20	145	1.618851966872197	5.810876079084665
44824	2022-09-21	146	1.6189075011426017	5.811075419586495
44825	2022-09-22	145	1.615803389450542	5.799933197352891
44826	2022-09-23	144	1.6091398356681021	5.776014342467792
44827	2022-09-24	143	1.6039873183133755	5.7575193593214955
44828	2022-09-25	142	1.6012121624753302	5.747557925536919
44829	2022-09-26	139	1.5911203805399297	5.711333430991528
44830	2022-09-27	140	1.5853228033652034	5.690523002854386
44831	2022-09-28	141	1.5866116951718032	5.695149485522823
44832	2022-09-29	141	1.5886822311356659	5.702581683246584
44833	2022-09-30	140	1.5852036410015116	5.690095269038772
44834	2022-10-01	139	1.579551291027779	5.669806134562543
44835	2022-10-02	138	1.578243641669103	5.6651123215804695
44836	2022-10-03	135	1.5676903387189929	5.627231195373104
44837	2022-10-04	136	1.5629982849117057	5.61038904810548
44838	2022-10-05	137	1.5670360356881967	5.624882571837455
44839	2022-10-06	137	1.5724133219939203	5.644184364097492
44840	2022-10-07	136	1.575554185295325	5.655458506390484
44841	2022-10-08	135	1.5708888088444706	5.638712117608208
44842	2022-10-09	134	1.5738159439410702	5.649219081593274
44843	2022-10-10	131	1.5669276862508137	5.624493651067208
44844	2022-10-11	132	1.5626815932168832	5.6092522819084785
44845	2022-10-12	133	1.5710826472541686	5.63940790141128
44846	2022-10-13	133	1.5800690734622262	5.671664716831998
44847	2022-10-14	132	1.5902060871369799	5.7080515708998165
44848	2022-10-15	131	1.5867053710698946	5.69548573556084
44849	2022-10-16	130	1.5955240070492205	5.7271402672357965
44850	2022-10-17	127	1.5942113240286993	5.722428385902937
44851	2022-10-18	128	1.5908821455125937	5.710478285339006
44852	2022-10-19	129	1.6021186331239765	5.750811705818502
44853	2022-10-20	129	1.6137826695598054	5.7926798146373
44854	2022-10-21	128	1.6276421610830107	5.842428518909547
44855	2022-10-22	127	1.6265080353060268	5.838357569568279
44856	2022-10-23	126	1.6397976601687974	5.886060735018476
44857	2022-10-24	123	1.6487106220369583	5.918053849876013
44858	2022-10-25	124	1.6516186894502436	5.928492370330032
44859	2022-10-26	125	1.6661202221599904	5.980545684195378
44860	2022-10-27	125	1.6794226472033877	6.028294795948842
44861	2022-10-28	124	1.6972725175375107	6.092366982079438
44862	2022-10-29	123	1.7014318960524324	6.107297089100228
44863	2022-10-30	122	1.719775580031308	6.1731418214268565
44864	2022-10-31	119	1.7424374490315249	6.254486697410262
44865	2022-11-01	120	1.7565452150241545	6.30512658395547
44866	2022-11-02	121	1.7732171968096202	6.364970734088159
44867	2022-11-03	121	1.7883858352860875	6.419418626964671
44868	2022-11-04	120	1.8131348594005265	6.50825535518334
44869	2022-11-05	119	1.8242040440962617	6.547988241129479
44870	2022-11-06	118	1.8462497445937416	6.627121377629281
44871	2022-11-07	115	1.8867850866593217	6.772623161848314
44872	2022-11-08	116	1.9156017756234538	6.876060790493032
44873	2022-11-09	117	1.9327325420849708	6.937551750188344
44874	2022-11-10	117	1.9490890210548755	6.99626340161124
44875	2022-11-11	117	1.9822930061201292	7.115449248430055
44876	2022-11-12	116	1.9976113900565928	7.1704346532775505
44877	2022-11-13	115	2.0229499393803616	7.261387484763852
44878	2022-11-14	113	2.079189554822965	7.463259825632524
44879	2022-11-15	114	2.114641191923839	7.590513629074406
44880	2022-11-16	115	2.1316895698831315	7.651708854887582
44881	2022-11-17	115	2.145613275130694	7.701688054598852
44882	2022-11-18	115	2.180568154624408	7.8271587444790125
44883	2022-11-19	114	2.193198581672079	7.872495716544309
44884	2022-11-20	113	2.213223372369074	7.944374788646663
44885	2022-11-21	111	2.2779740345921873	8.176797568441751
44886	2022-11-22	113	2.2971929951574603	8.245784109829716
44887	2022-11-23	115	2.2995313028711686	8.254177475398143
44888	2022-11-24	115	2.3122737531143995	8.29991655520442
44889	2022-11-25	116	2.3178575920617606	8.319959769057613
44890	2022-11-26	115	2.33050317907147	8.365351157871675
44891	2022-11-27	114	2.344193668601887	8.414493228765881
44892	2022-11-28	112	2.403374687710662	8.626923750711304
44893	2022-11-29	114	2.418370041305971	8.680749636763599
44894	2022-11-30	116	2.4169227003455953	8.675554400178022
44895	2022-12-01	117	2.4165724686362857	8.674297241955152
44896	2022-12-02	119	2.4128371575429486	8.66088932676316
44897	2022-12-03	118	2.4233844189518705	8.698748766832516
44898	2022-12-04	118	2.431661612341024	8.728459788007553
44899	2022-12-05	117	2.4696101182242907	8.864676112654045
44900	2022-12-06	119	2.482957763296554	8.912587541895093
44901	2022-12-07	121	2.476573185233206	8.889670071550327
44902	2022-12-08	122	2.4745617829707696	8.882450134501488
44903	2022-12-09	124	2.4679820062031563	8.858831997570467
44904	2022-12-10	124	2.4679820062031563	8.858831997570467
44905	2022-12-11	124	2.4732921826505194	8.877892898706053
44906	2022-12-12	124	2.489150851524716	8.93481765865507
44907	2022-12-13	127	2.4703109147141147	8.867191624660306
44908	2022-12-14	129	2.463264335951048	8.841897899964277
44909	2022-12-15	130	2.4597091276832574	8.829136464637127
44910	2022-12-16	132	2.4517004832186795	8.800389400978784
44911	2022-12-17	132	2.4517004832186795	8.800389400978784
44912	2022-12-18	133	2.448878443653137	8.79025967785325
44913	2022-12-19	133	2.457872067764216	8.822542330177738
44914	2022-12-20	136	2.4400102938311674	8.758427416027738
44915	2022-12-21	138	2.4315392170614976	8.728020449626683
44916	2022-12-22	139	2.4269135306097613	8.71141652826649
44917	2022-12-23	141	2.4180765005527745	8.679695970970869
44918	2022-12-24	141	2.4180765005527745	8.679695970970869
44919	2022-12-25	142	2.4143568700269773	8.666344341243322
44920	2022-12-26	142	2.419741465311258	8.685672369113242
44921	2022-12-27	145	2.4026270007169215	8.6242399250401
44922	2022-12-28	147	2.394317942774835	8.59441452591563
44923	2022-12-29	148	2.3893676809620485	8.576645539904693
44924	2022-12-30	150	2.3799040609895994	8.54267583541979
44925	2022-12-31	150	2.3799040609895994	8.54267583541979
44926	2023-01-01	151	2.375658241870681	8.527435449480171
44927	2023-01-02	151	2.378258117490214	8.536767714168542
44928	2023-01-03	154	2.365339932001735	8.490397831945637
44929	2023-01-04	156	2.357779214906476	8.46325860550083
44930	2023-01-05	157	2.354098003555756	8.45004488156702
44931	2023-01-06	159	2.3446249536030246	8.416041328127443
44932	2023-01-07	159	2.3446249536030246	8.416041328127443
44933	2023-01-08	160	2.341135625797935	8.403516371003752
44934	2023-01-09	161	2.339630498801192	8.398113711192764
44935	2023-01-10	163	2.321480276978814	8.33296341210673
44936	2023-01-11	165	2.3145216779217335	8.307985490942723
44937	2023-01-12	166	2.310217670638351	8.292536238337165
44938	2023-01-13	167	2.3003618661218868	8.257158785749262
44939	2023-01-14	167	2.3003618661218868	8.257158785749262
44940	2023-01-15	168	2.2976981879606617	8.24759750156381
44941	2023-01-16	168	2.2882584338768384	8.213713463788501
44942	2023-01-17	169	2.275599613270629	8.168274572923037
44943	2023-01-18	169	2.26849237458033	8.14276310915801
44944	2023-01-19	170	2.2619662418381075	8.119337527686232
44945	2023-01-20	170	2.244456197289072	8.056485147668877
44946	2023-01-21	170	2.244456197289072	8.056485147668877
44947	2023-01-22	170	2.2372176928520124	8.030502504942792
44948	2023-01-23	170	2.226416471424703	7.991731474298082
44949	2023-01-24	170	2.22151913133776	7.9741524510490684
44950	2023-01-25	170	2.2134481175203926	7.945181512331357
44951	2023-01-26	170	2.198495312580229	7.891508354859217
44952	2023-01-27	170	2.1803073364509262	7.82622253652653
44953	2023-01-28	170	2.1803073364509262	7.82622253652653
44954	2023-01-29	170	2.1723457913666273	7.79764453629573
44955	2023-01-30	170	2.160677457021932	7.75576100011462
