country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
CANADA	44373	06/12/2021	07/12/2021	0.093	7.3e-06	0.267	0.037	0.0005590990565271198	0.008131185583241574	2059	218	1119	1905	17.16	0.23905114938060734	0.41760152920533994	0.3433473214140528
CANADA	44380	06/19/2021	07/19/2021	0.115	1.02e-05	0.344	0.037	0.000608181911090284	0.008165191264560978	1524	139	1212	3501	13.12	0.21877515885218676	0.5525604361293416	0.22866440501847166
CANADA	44387	06/26/2021	07/26/2021	0.131	1.27e-05	0.419	0.037	0.0006608668421454131	0.008184073664452262	1007	106	1153	6144	11.68	0.15478801315648333	0.7441913091027866	0.10102067774073004
FINLAND	44323	04/23/2021	05/23/2021	0.075	5.91e-05	0.041	0.016	4.69126112810366e-05	0.00564710490337161	695	557	24	179	37.52	0.11521133664210348	0.10862178376915567	0.7761668795887409
FINLAND	44330	04/30/2021	05/30/2021	0.059	3.4e-05	0.053	0.016	7.848885164772681e-05	0.005837417921130617	717	423	49	169	33.9	0.09551818639795728	0.15767573098941776	0.7468060826126249
FINLAND	44337	05/07/2021	06/06/2021	0.054	2.37e-05	0.068	0.016	0.00011636330216983635	0.006004080198792825	715	299	92	193	29.8	0.08237067207788606	0.21680126198739405	0.7008280659347199
FINLAND	44344	05/14/2021	06/13/2021	0.079	1.92e-05	0.087	0.017	0.0001588667453230969	0.006139552405976168	683	206	136	433	24.65	0.06982960335318766	0.2603710932293146	0.6697993034174977
FINLAND	44351	05/21/2021	06/20/2021	0.097	1.74e-05	0.107	0.017	0.0002056525157212629	0.006237805506037505	590	136	174	737	19.03	0.06391225516767285	0.341029299532317	0.5950584453000102
FINLAND	44358	05/28/2021	06/27/2021	0.119	2.29e-05	0.129	0.017	0.00026116075671392164	0.006299644687566959	464	80	175	1075	17.77	0.04793166235357993	0.6092073210389723	0.3428610166074477
FINLAND	44365	06/04/2021	07/04/2021	0.144	4.33e-05	0.152	0.017	0.0003486811754134486	0.006338560348554578	330	37	171	1440	20.83	0.03772727426680697	0.7958162703801839	0.16645645535300915
FINLAND	44372	06/11/2021	07/11/2021	0.136	6.55e-05	0.178	0.017	0.0004800012561178397	0.006359832125732264	230	21	342	1788	26.66	0.031170544038614537	0.8922309377138785	0.07659851824750695
FRANCE	44322	04/22/2021	05/22/2021	0.033	3.9e-05	0.111	0.085	9.293224084578706e-05	0.03197880125179236	4349	2887	45	80		0.11965031001342352	0.014355034380114044	0.8659946556064624
FRANCE	44329	04/29/2021	05/29/2021	0.053	2.44e-05	0.127	0.085	0.00011897462915216972	0.03349744887761192	4009	2405	60	176		0.10589887585346736	0.01423210698877266	0.87986901715776
FRANCE	44336	05/06/2021	06/05/2021	0.075	2.45e-05	0.144	0.086	0.00014995359921865278	0.03470929274338174	3751	1880	61	290		0.10736330852958309	0.02105209240779211	0.8715845990626248
FRANCE	44343	05/13/2021	06/12/2021	0.115	2.48e-05	0.162	0.085	0.0001919732515028196	0.03566008929037821	3200	1121	52	562		0.11521728605863202	0.05527155385973042	0.8295111600816376
FRANCE	44350	05/20/2021	06/19/2021	0.133	2.1e-05	0.184	0.085	0.00025117104912196193	0.036354286434997087	3110	933	65	1033		0.11759482911584762	0.10399952936883139	0.778405641515321
FRANCE	44357	05/27/2021	06/26/2021	0.123	9.4e-06	0.211	0.085	0.00032888535802185013	0.03679782108122282	2445	732	145	1754	71.72	0.13869425694641302	0.261775423898012	0.599530319155575
FRANCE	44364	06/03/2021	07/03/2021	0.122	6.8e-06	0.244	0.086	0.00042433105692840883	0.03706304874198078	2141	735	251	3352	50.68	0.1323796294821485	0.43101696286977503	0.4366034076480764
FRANCE	44371	06/10/2021	07/10/2021	0.108	5.6e-06	0.281	0.086	0.0005495691330604271	0.03719904365837112	1231	613	459	5910	38.82	0.11135287881671296	0.6101913849636175	0.27845573621966957
FRANCE	44378	06/17/2021	07/17/2021	0.101	4.9e-06	0.321	0.086	0.0007366441498713961	0.03726874842577464	1007	437	890	7944	47.89	0.06525346527080869	0.7518332411376567	0.1829132935915346
FRANCE	44385	06/24/2021	07/24/2021	0.091	6.1e-06	0.363	0.087	0.0011127172436928207	0.03731921659120589	750	291	1491	8867	94.42	0.02832618271893246	0.8718780395877053	0.09979577769336227
FRANCE	44392	07/01/2021	07/31/2021	0.089	9.1e-06	0.402	0.088	0.0018942867475278526	0.037369368468217985	747	159	2785	8727	162.4	0.013324978949685234	0.9311272029181146	0.055547818132200194
FRANCE	44399	07/08/2021	08/07/2021	0.084	1.56e-05	0.438	0.089	0.003154571128458548	0.03741926666071125	655	83	5172	8080	229.83	0.007581098384903923	0.9583912634523838	0.03402763816271229
GERMANY	44333	05/03/2021	06/02/2021	0.071	6.7e-06	0.126	0.043	6.156726838172008e-05	0.01428809394433862	21595	7181	231	648	103.39	0.05041731758781576	0.023895487724576246	0.925687194687608
GERMANY	44340	05/10/2021	06/09/2021	0.083	5.3e-06	0.155	0.044	7.851247265321337e-05	0.01485670966875242	18097	4692	301	934	72.19	0.0544549525380319	0.03920070463058964	0.9063443428313784
GERMANY	44347	05/17/2021	06/16/2021	0.099	4.6e-06	0.191	0.044	9.839392698059322e-05	0.015243249283992314	14189	2629	345	1250	48.62	0.06410582001438736	0.07051673698091748	0.8653774430046952
GERMANY	44354	05/24/2021	06/23/2021	0.112	4.4e-06	0.232	0.044	0.00012068465696131715	0.015483931301827254	10845	1361	431	1562	29.26	0.07469142595482181	0.1386682661735957	0.7866403078715825
GERMANY	44361	05/31/2021	06/30/2021	0.122	4.1e-06	0.276	0.044	0.00014535618292099202	0.015624618779795386	7966	673	588	1901	18.94	0.0875489075897885	0.2702213903463412	0.6422297020638703
GERMANY	44368	06/07/2021	07/07/2021	0.129	5e-06	0.319	0.044	0.000172650437576225	0.015699841141266817	5398	341	844	2515	12.19	0.08976458951875299	0.45614967001524986	0.45408574046599715
GERMANY	44375	06/14/2021	07/14/2021	0.134	7.7e-06	0.36	0.045	0.00020511520860845223	0.015735460094229183	3121	180	1161	3725	8.75	0.0758253574508091	0.6597479135682115	0.2644267289809794
GERMANY	44382	06/21/2021	07/21/2021	0.133	1.32e-05	0.399	0.045	0.0002503368633927367	0.015750811450562684	1665	104	1468	4878	9.82	0.05399145417143558	0.8170699753464415	0.12893857048212287
ITALY	44319	04/19/2021	05/19/2021	0.059	2.96e-05	0.111	0.067	0.00034843428619399234	0.021538763253197157	4867	2550	51	159	163.94	0.14141385614800084	0.03348726326429237	0.8250988805877068
ITALY	44326	04/26/2021	05/26/2021	0.046	1.62e-05	0.131	0.068	0.00038145829732288473	0.022420267002070362	4365	2125	107	208	129.88	0.16208262305775367	0.03956648492154757	0.7983508920206988
ITALY	44333	05/03/2021	06/02/2021	0.059	1.31e-05	0.154	0.069	0.00041488576563039685	0.023079249591696063	3550	1501	136	331	96.93	0.17278990543130845	0.04702827093391913	0.7801818236347724
ITALY	44340	05/10/2021	06/09/2021	0.07	1.1e-05	0.177	0.069	0.00044879176493158176	0.023543895598471875	3103	1242	150	487	68.68	0.1871151584766514	0.06706727518419278	0.7458175663391559
