country	time	s_hat	s_var	C_ba45_bst	C_ba2_bst	C_ba45_ba1	C_ba2_ba1	C_ba45_ba2	C_ba2_ba2	C_ba45_ba45	C_ba2_ba45
FRANCE	44738	0.079	2.8e-06	0.21336249417410086	0.3275118810054316	0.00882004190643293	0.023579996093478644	0.025140662066581658	0.04361004596357598	0.004457028279735866	0.004763962543724386
FRANCE	44745	0.076	4.3e-06	0.20838967203206005	0.3219716501043144	0.008044712859701706	0.021826257860106058	0.024061717267169446	0.042695694640554976	0.006998299022535026	0.00748331011822566
FRANCE	44752	0.071	8.2e-06	0.20584361282878744	0.31867282732680074	0.007331983663835697	0.02016844080848506	0.022917047276832556	0.04162202430650555	0.010211848035527998	0.010931440658457766
FRANCE	44759	0.068	1.56e-05	0.2010012797801048	0.31255490438154904	0.0066775289636071666	0.018606009262421373	0.021705939779780692	0.040384893115868244	0.013424556392014994	0.014400858107169068
GERMANY	44692	0.114	4.6e-06	0.33952372812884474	0.46928773703000337	0.01574882723584283	0.03730285487282457	0.02953400106262444	0.04470137391749974	0.00013933208353580795	0.00015085310971412385
GERMANY	44699	0.116	2.3e-06	0.32711222104762117	0.45920155006362406	0.014468411184796057	0.03500052293102069	0.02942196795061075	0.0453607673404225	0.00024027580492417955	0.00025875726521612687
GERMANY	44706	0.117	1.5e-06	0.31446124175084483	0.4483695715699032	0.01327318237699484	0.032763448525695224	0.028996171343064817	0.04559517570244753	0.0004080814203021342	0.0004381423337880249
GERMANY	44713	0.109	9e-07	0.3004148614575765	0.4355148560502351	0.01216119719966359	0.030601012798870408	0.028308191292226687	0.04545692690508323	0.0006664020617895296	0.0007144731335024347
GERMANY	44720	0.097	6e-07	0.2869635432507971	0.4227660858663805	0.011129534331047948	0.028520406366824742	0.027496437478673034	0.04511243946808934	0.0011016503832106215	0.0011799978994654658
GERMANY	44727	0.082	6e-07	0.273988441673734	0.40998690759162354	0.010174631800289905	0.026526980412170203	0.02663625958074489	0.044649755859505924	0.0019152934494617148	0.0020491269530057716
GERMANY	44734	0.073	1e-06	0.2611006764624285	0.39676007394691903	0.009292619982550626	0.024624657588027614	0.02566476760985668	0.04398244909317553	0.0031258564079818937	0.0033440430112683145
GERMANY	44741	0.071	1.6e-06	0.2491297779357516	0.3839931257799228	0.008479695281545283	0.022816463047424917	0.024633017407797622	0.04316968085896846	0.005090164153556637	0.005445675651139183
GERMANY	44748	0.071	3e-06	0.237238291419135	0.37080138155027753	0.007731704613091894	0.021103799878046874	0.023542085580558855	0.04220808992111512	0.007873595347630004	0.00842818752328468
GERMANY	44755	0.07	5.2e-06	0.22598926968747216	0.3578156160689653	0.0070444929305312765	0.019487009775210295	0.02238257521820015	0.041082030063333407	0.011223451411956653	0.012029572953525828
GERMANY	44762	0.068	8.7e-06	0.21523156526285825	0.34490695603885574	0.006413778922492945	0.017965184888473176	0.021157869773426395	0.03979304673307879	0.014317679921835323	0.015383449160482976
ITALY	44691	0.105	3.34e-05	0.3569014855804558	0.48833145246210274	0.015939184922070273	0.03763712917360083	0.029591275657097578	0.04465863229747601	0.00013193628681519077	0.00014290989249004897
ITALY	44698	0.115	2.15e-05	0.34420890133363097	0.47860036899142594	0.014646319047746603	0.035326066684632104	0.029508951983345688	0.045358318772191514	0.0002272259108584623	0.00024475466628656083
ITALY	44705	0.116	1.66e-05	0.33112166305411617	0.46796864839483454	0.013438904717447816	0.03307886484632007	0.02911374235817696	0.04563609670007131	0.0003875792354342415	0.0004161217419205666
ITALY	44712	0.104	9.9e-06	0.31779766067441595	0.45656845050545225	0.012315129157791494	0.03090518426044174	0.02843683719002116	0.04551820384520864	0.0006274100517307887	0.0006726950151757866
ITALY	44719	0.094	5.8e-06	0.30308448495582396	0.4431229810280673	0.011272207128070012	0.02881253560049733	0.027655917024754662	0.045220416671495615	0.0010622788044436175	0.0011374315905605835
ITALY	44726	0.088	4.5e-06	0.28898266369007275	0.4297645612935119	0.010306552100030111	0.026806353833288166	0.02678708915282914	0.04475516492750384	0.0017998714236385203	0.0019255248157618243
ITALY	44733	0.085	5.1e-06	0.27493783196326865	0.4158848008380241	0.009414359090276955	0.024890805348158514	0.025826254178738652	0.04411083102209765	0.0029575925554562897	0.0031635491560094414
ITALY	44740	0.083	6.1e-06	0.26118250453385133	0.40173185726772576	0.008591831704824415	0.023069073657886026	0.02480416812300022	0.04332049029607056	0.004867537066451868	0.005206003640502262
ITALY	44747	0.08	1.11e-05	0.24785511393103213	0.3874624785839647	0.007834796569798345	0.021342681038434768	0.023719263523668717	0.04237729015769858	0.0075937769521352	0.008125572123445765
ITALY	44754	0.075	1.92e-05	0.23552555453071464	0.3737083442598629	0.007139140529730666	0.019712187861969058	0.02256203784757177	0.04126534808704654	0.010880401872724746	0.011657006283633293
ITALY	44761	0.072	3.42e-05	0.22675729699833674	0.36326930940307034	0.006500607179717397	0.01817687364339504	0.021342273017739364	0.039994190443011064	0.014041163154853901	0.015077973039860365
ITALY	44768	0.065	4.77e-05	0.21943920360403338	0.3539244963011914	0.005915212447979654	0.016735457307659865	0.020086537090722553	0.03859598408134281	0.016627314319343917	0.01791330999309993
NETHERLANDS	44688	0.111	4.07e-05	0.2803131717409915	0.38427633458781413	0.016520158746855338	0.03864511455669954	0.029641391594669997	0.04437329109066705	0.00010953375939300125	0.0001188905370517006
NETHERLANDS	44695	0.1	1.66e-05	0.26810616576330265	0.37461290048693674	0.01519010576966296	0.03630971594036686	0.029659091445262513	0.045206336377013816	0.00018760790340871167	0.00020231820864564188
NETHERLANDS	44702	0.1	9e-06	0.2559198098733258	0.3645567297966591	0.013946111822676244	0.03403364761580245	0.029373722146862395	0.04563585066671887	0.0003212079994504059	0.0003450324086698036
NETHERLANDS	44709	0.096	6.7e-06	0.24361538140705008	0.35391958758723	0.012786740483727806	0.031827351951155956	0.028782307404518318	0.04564440042139034	0.0005265383493343171	0.000564563992069613
NETHERLANDS	44716	0.091	5.6e-06	0.23137966399065824	0.3428709653543901	0.0117095636365308	0.029699191636790072	0.02804039328018747	0.04541759064224525	0.0008846949503650642	0.000947188130264989
NETHERLANDS	44723	0.081	5e-06	0.21918446685992887	0.33135671279382595	0.010711223955714569	0.02765532801244023	0.02719715416339708	0.04500956780817273	0.0014922129028757895	0.00159608320545878
NETHERLANDS	44730	0.076	6.5e-06	0.20747314298277691	0.3198408615967084	0.009787968651400728	0.02570041730258417	0.026263714158707083	0.044427548837081735	0.00247612584855661	0.0026475429566491944
NETHERLANDS	44737	0.074	9e-06	0.19630550176269757	0.3083854007975169	0.008936107889187774	0.023838249611160257	0.025270181032565103	0.04370332983554834	0.004093780717248808	0.004376384230864585
NETHERLANDS	44744	0.083	1.87e-05	0.18536258020781998	0.29665214551971714	0.008151501072153887	0.02207085543310994	0.024203222246246436	0.04281475292657455	0.006486924564956003	0.006937003248395374
NETHERLANDS	44751	0.09	3.84e-05	0.17474830286877954	0.2847665630868216	0.007430093913153729	0.02039934378848681	0.023072403000357056	0.04176975598821126	0.009617662657530425	0.010294695115449113
NORWAY	44694	0.117	8.73e-05	0.26999841795682367	0.380511535613749	0.015374727089602956	0.03663982269312783	0.02964853752634457	0.04507780101630563	0.00017192417874333985	0.00018558096482298777
NORWAY	44701	0.114	4.14e-05	0.25767351720426246	0.36996555777642637	0.014118539497641726	0.03435465219252669	0.029412730921890062	0.04557380698549159	0.0002949992929227633	0.0003170633655861789
NORWAY	44708	0.113	2.33e-05	0.24558830366688011	0.3592229552740589	0.012947249250044967	0.03213789807199728	0.02887606788807225	0.04565737733063123	0.0004919105329747994	0.0005275221898613086
NORWAY	44715	0.103	1.48e-05	0.23379936133100127	0.34832092519795715	0.011858508133124133	0.02999813497768194	0.028139144228676888	0.045443737106440125	0.0008122041516158323	0.0008698433229772595
NORWAY	44722	0.088	1.11e-05	0.22183405378055496	0.33673407225934543	0.010849119154879473	0.027941895538008712	0.027299314416916822	0.045048005326421836	0.0013554718495111533	0.0014503476176571004
NORWAY	44729	0.076	1.41e-05	0.2103594531462811	0.32517218791803165	0.009915391024221223	0.025974066824452784	0.026397236569978527	0.04451478925150023	0.0023049923301345604	0.0024646141266290327
NORWAY	44736	0.073	2.37e-05	0.19933146155223258	0.313589906391775	0.00905358006737993	0.024098493821390937	0.025411977463963367	0.04381082450461817	0.0037951779158567098	0.00405739619723794
NORWAY	44743	0.07	3.52e-05	0.18879132211367838	0.30204069823331425	0.008259610034939347	0.022317461946874975	0.024354152609741206	0.04294430251838207	0.0060537557343217155	0.006473744265882095
NORWAY	44750	0.068	4.18e-05	0.18052365002905185	0.29246888437951335	0.00752943652953828	0.020632247587907496	0.02323536508053338	0.04192558477058141	0.009094680119368474	0.00973369306360858
NORWAY	44757	0.061	5.62e-05	0.17287063865217583	0.2831244160998853	0.006858783173131167	0.01904269420014951	0.022049873661446413	0.040743876528865484	0.01245749901914339	0.01335522081299742
NORWAY	44764	0.05	8.32e-05	0.16550519713848993	0.27368585318778976	0.006243474125090647	0.017547774418720116	0.020805945635271612	0.03940725554760708	0.015327167148330491	0.016478098853787045
NORWAY	44771	0.041	0.0001268	0.15888135125653338	0.2646809363742456	0.005679672038768674	0.016146037046668674	0.019548720952145243	0.03797232837993885	0.01765730785881938	0.019051641507404304
NORWAY	44778	0.033	0.0001479	0.1530089427839804	0.2561628962875019	0.005163747411062255	0.014835469442149715	0.0183041269081976	0.036473156298570654	0.019377508390617602	0.020999340127862684
NORWAY	44785	0.025	0.0001733	0.14841504351863183	0.24874795856447676	0.004692184441151306	0.013613424930249708	0.017090275443802302	0.03493528595888928	0.020657372778700868	0.022498153435398592
NY	44702	0.11	8.6e-06	0.16015940004810808	0.23161873911096237	0.013946111822676244	0.03403364761580245	0.029373722146862395	0.04563585066671887	0.0003212079994504059	0.0003450324086698036
NY	44709	0.106	3.9e-06	0.15308043872596522	0.2250518875019913	0.012786740483727806	0.031827351951155956	0.028782307404518318	0.04564440042139034	0.0005265383493343171	0.000564563992069613
NY	44716	0.103	2.2e-06	0.14610215413377894	0.21830477912979407	0.0117095636365308	0.029699191636790072	0.02804039328018747	0.04541759064224525	0.0008846949503650642	0.000947188130264989
NY	44723	0.1	1.5e-06	0.1399366276408675	0.2121412960708433	0.010711223955714569	0.02765532801244023	0.02719715416339708	0.04500956780817273	0.0014922129028757895	0.00159608320545878
NY	44730	0.094	1.4e-06	0.1325180412499934	0.20434061896299974	0.009787968651400728	0.02570041730258417	0.026263714158707083	0.044427548837081735	0.00247612584855661	0.0026475429566491944
NY	44737	0.089	1.6e-06	0.12640380700659848	0.19766136735388487	0.008936107889187774	0.023838249611160257	0.025270181032565103	0.04370332983554834	0.004093780717248808	0.004376384230864585
NY	44744	0.082	2.3e-06	0.12047848698466201	0.19091803552491612	0.008151501072153887	0.02207085543310994	0.024203222246246436	0.04281475292657455	0.006486924564956003	0.006937003248395374
NY	44751	0.075	3.8e-06	0.11420449113387506	0.1835429626610723	0.007430093913153729	0.02039934378848681	0.023072403000357056	0.04176975598821126	0.009617662657530425	0.010294695115449113
NY	44758	0.07	5.9e-06	0.10810887848860487	0.1761185087240431	0.006767593484881801	0.018823381189056364	0.021876204384427007	0.04056303904607927	0.012949695831217453	0.013886954174220112
NY	44765	0.068	1.06e-05	0.10220098069651173	0.1686762570075716	0.0061598743612780935	0.017341878683633686	0.02062660625407118	0.03920757511770552	0.015721112828569236	0.01690907358770248
NY	44772	0.066	1.71e-05	0.09645576261376843	0.16120871016109264	0.005603126486837023	0.01595329632120661	0.019369657832816634	0.03776142467093267	0.017953161302252885	0.019381768834269432
SPAIN	44688	0.109	2.61e-05	0.27092004045642215	0.373657143952881	0.016520158746855338	0.03864511455669954	0.029641391594669997	0.04437329109066705	0.00010953375939300125	0.0001188905370517006
SPAIN	44695	0.101	1.02e-05	0.2596970082820621	0.36454151145758523	0.01519010576966296	0.03630971594036686	0.029659091445262513	0.045206336377013816	0.00018760790340871167	0.00020231820864564188
SPAIN	44702	0.095	5.3e-06	0.24853478814207033	0.35509901172088404	0.013946111822676244	0.03403364761580245	0.029373722146862395	0.04563585066671887	0.0003212079994504059	0.0003450324086698036
SPAIN	44709	0.092	3e-06	0.2373741178552038	0.3452380519641878	0.012786740483727806	0.031827351951155956	0.028782307404518318	0.04564440042139034	0.0005265383493343171	0.000564563992069613
SPAIN	44716	0.088	2.4e-06	0.2263926177509561	0.33512867803940694	0.0117095636365308	0.029699191636790072	0.02804039328018747	0.04541759064224525	0.0008846949503650642	0.000947188130264989
SPAIN	44723	0.084	2.3e-06	0.21566368669081373	0.32483657570218927	0.010711223955714569	0.02765532801244023	0.02719715416339708	0.04500956780817273	0.0014922129028757895	0.00159608320545878
SPAIN	44730	0.079	2.8e-06	0.20517099523605495	0.31433742273137866	0.009787968651400728	0.02570041730258417	0.026263714158707083	0.044427548837081735	0.00247612584855661	0.0026475429566491944
SPAIN	44737	0.071	3.4e-06	0.19489443651301486	0.3036103598776481	0.008936107889187774	0.023838249611160257	0.025270181032565103	0.04370332983554834	0.004093780717248808	0.004376384230864585
SPAIN	44744	0.06	4.6e-06	0.1849119647716635	0.2927464059975879	0.008151501072153887	0.02207085543310994	0.024203222246246436	0.04281475292657455	0.006486924564956003	0.006937003248395374
SPAIN	44751	0.053	6.8e-06	0.17535660457909658	0.28190478500920485	0.007430093913153729	0.02039934378848681	0.023072403000357056	0.04176975598821126	0.009617662657530425	0.010294695115449113
SPAIN	44758	0.048	1.05e-05	0.16601976978840308	0.27088196834242684	0.006767593484881801	0.018823381189056364	0.021876204384427007	0.04056303904607927	0.012949695831217453	0.013886954174220112
SPAIN	44765	0.039	1.53e-05	0.15680261242087415	0.259597326902913	0.0061598743612780935	0.017341878683633686	0.02062660625407118	0.03920757511770552	0.015721112828569236	0.01690907358770248
SPAIN	44772	0.035	2.19e-05	0.14774100305907334	0.24811924137628044	0.005603126486837023	0.01595329632120661	0.019369657832816634	0.03776142467093267	0.017953161302252885	0.019381768834269432
SPAIN	44779	0.027	3e-05	0.1388517768531619	0.23650046394685637	0.005093754313225037	0.014655554702854073	0.018128549058901017	0.03625538739951014	0.019599100427810635	0.021253453678294124
SPAIN	44786	0.018	3.69e-05	0.130099220332518	0.22473861400697306	0.004628237738632739	0.013445889752574375	0.016920192535443714	0.034713671568069294	0.020814608164287336	0.022686454722915833
SPAIN	44793	0.016	5.02e-05	0.12176709591027211	0.21317871453694612	0.004203155923039094	0.012320971623622862	0.01575687991951411	0.033155806496694765	0.021721830669926286	0.023808084284255883
