	WT	DELTA	OMI	ALPHA	BA.1	BA.2	BA.4/5	BQ.1	BA.4.6	BF.7	XBB	CH.1	BN.1	BM.1.1
44895	0.9994741134739475	0.0005249005091083869	0.13924049878182784	9.611192031995816e-07	0.0004097778940115301	0.0005602653717540926	0.13827043061832128	0.5785356106287594	0.009978307382430253	0.1473695077857084	0.05302603712527075	0.007501564525796962	0.03428818016467523	0.0051084180694322455
44896	0.9994711106652662	0.0005280318310012436	0.13489176656300458	8.49953646876351e-07	0.00040722140497526695	0.0005420565882352205	0.13394248101970835	0.5837728862882504	0.009686658918397362	0.14532500696375056	0.05415047565807659	0.007829060613018258	0.034414895879098226	0.004936728693575752
44897	0.9994690372189753	0.000530238837781071	0.13070814160060962	7.220287240297456e-07	0.000401477456001806	0.0005220912371676693	0.12978457099292068	0.5888539587501449	0.009398155244026507	0.14331138875565236	0.055272283356506295	0.008172782120585196	0.0344874959007235	0.004776208228441882
44898	0.9994672263690011	0.0005321889642524321	0.12669358311556433	5.842677726715937e-07	0.0003930016499604691	0.0005003924347738066	0.12580018863185635	0.5937554116499105	0.009108799895622483	0.14133552676987393	0.05640279321453909	0.008534208152363843	0.03450866872961144	0.004626580512951779
44899	0.999465369062417	0.0005341846021703037	0.12285514336990669	4.4626831939851193e-07	0.000382983025584136	0.0004774508047073677	0.12199470947252194	0.5984498868474198	0.008815172411160909	0.139407291700651	0.05754944863490708	0.008914196773788796	0.03448201445364245	0.004487401806142998
44900	0.9994634795444332	0.0005362018729052333	0.11920430583445087	3.185737293471171e-07	0.000373068023755306	0.0004541725101020744	0.11837706529166114	0.6029078768523479	0.008514742596050178	0.1375394262924397	0.0587117983306968	0.009311964708536246	0.03441334455948995	0.004358246398641407
44901	0.999461756006441	0.0005380336986446926	0.11575291933387856	2.1029399125574578e-07	0.00036487427836028253	0.00043166099309001945	0.11495638406150538	0.60710669737356	0.008205836376316781	0.1357424356223707	0.059880710577965686	0.009725122302313014	0.034311393940329525	0.004238913742588519
44902	0.9994603976468824	0.0005394754535630439	0.11250485464916471	1.2689948201296948e-07	0.00035949780331010823	0.00041091961426355646	0.11173443723151856	0.6110429483951016	0.007887781427258551	0.13401777494058809	0.0610408308241237	0.010150912249539625	0.03418709461043619	0.004129383768733426
44903	0.9994594610609266	0.0005404698034796541	0.10944869035030741	6.913558937281351e-08	0.0003572514687353075	0.0003926181562592944	0.10869882072530854	0.6147404305463238	0.00756144815568985	0.13235422190729113	0.06217444095176647	0.01058795755329302	0.03405153869851778	0.004029487892453491
44904	0.999458818406037	0.0005411480468415047	0.10655692586060782	3.3547121251377235e-08	0.0003577492097801477	0.00037702109103781873	0.10582215555978963	0.6182468496569048	0.007229881824960812	0.13073049541008325	0.06326458905199023	0.01103746500372631	0.03391361372318359	0.003938567542538535
44905	0.9994582351095128	0.0005417506050552612	0.10379302481254318	1.4285431923563516e-08	0.0003602516438772001	0.0003640725409846827	0.10306870062768134	0.6216192839629019	0.0068984687663902885	0.1291232132527041	0.0642966773626247	0.01150322275982931	0.03377841780793671	0.0038554468124287738
44906	0.9994575424230493	0.0005424523230679641	0.10112222721161382	5.253882874931594e-09	0.0003640626591482603	0.00035355318698476984	0.10040461136548078	0.6249056506939539	0.006574246658214931	0.12751586794529504	0.0652593468696993	0.011990566675456924	0.033647022106650194	0.0037787956207296866
44907	0.9994568510142392	0.0005431473449489127	0.09851962594577582	1.6408117986827833e-09	0.00036878138837434553	0.00034522085801025	0.09780562369939126	0.6281320905198092	0.006264399619794621	0.1259038016375761	0.06614601024968826	0.012505164585605723	0.033517454918595604	0.0037076455603716097
44908	0.9994567362730961	0.0005432632993760068	0.09597116061529466	4.2752788346375795e-10	0.00037432104691063027	0.0003389010950044738	0.09525793847337957	0.6313024469679436	0.005974442046119354	0.12429254332258967	0.06695733874721535	0.013052502803282066	0.03338636473484283	0.003641722927147927
44909	0.9994583240917101	0.0005416758170225315	0.0934682512626446	9.126731824481142e-11	0.0003807205461478481	0.000334538809420735	0.09275299190707606	0.6344082991938074	0.005706877041555324	0.12269090952642937	0.06770340597008141	0.013638287505382162	0.033250788726505325	0.0035814328079476748
44910	0.9994632154683991	0.0005367845159321765	0.09100115118343209	1.566872496159709e-11	0.00038784780312538263	0.00033221475970832224	0.0902810886205984	0.6374413343200893	0.005461007582116291	0.12110347248896458	0.0684036628545408	0.01426905029897734	0.033109644896839555	0.0035275721807511706
44911	0.9994732053799003	0.0005267946179774799	0.08855667110056584	2.1222953650661187e-12	0.00039511854448547355	0.0003321015500134206	0.08782945100606693	0.6403987377874096	0.005234013266698679	0.1195272062406667	0.06908420442404703	0.014951831049170626	0.0329646944877591	0.003480956987258534
44912	0.9994897841348707	0.0005102158649068481	0.08612237449264479	2.223396008216828e-13	0.0004013453878379495	0.00033434223938134044	0.08538668686542548	0.6432776048612656	0.005022658262268665	0.11795416539595277	0.06977381266789141	0.015692359146093623	0.0328206590495519	0.003442091970937836
44913	0.9995134879726214	0.00048651202736083114	0.08369425783235102	1.7648293654208884e-14	0.0004048053656946427	0.00033888719216366563	0.08295056527449272	0.6460625597157252	0.004824595072548647	0.11637808914573987	0.07050103479400692	0.016492357102006725	0.03268413368688568	0.0034109289286301946
44914	0.9995433114478166	0.000456688552182405	0.08128186942551256	1.0388141365839012e-15	0.0004035676905498067	0.00034536941198172184	0.08053293232298103	0.6487162423881218	0.004638528949373489	0.11480060922251151	0.07129327035083338	0.0173475754430779	0.032561275171664864	0.0033867495766586797
44915	0.9995765392162972	0.0004234607837025156	0.07890603633484325	4.434503199027419e-17	0.00039603331208380987	0.00035309065870854775	0.07815691236405058	0.651181048685616	0.004463335226824623	0.1132334571275575	0.07217685219714094	0.018248131712512963	0.032455073842298336	0.003368222309335445
44916	0.9996093040303848	0.00039069596960713616	0.07658945032855484	1.3415391185056409e-18	0.00038150762827870766	0.00036113593281937145	0.07584680676744868	0.6533926626140308	0.004296954711004702	0.11169573886045572	0.07317656913696285	0.019181476573925074	0.03236384708952577	0.0033536237972679535
44917	0.9996377894930311	0.00036221050682416935	0.07434591781570105	2.808258255900444e-20	0.00036054844381691473	0.00036857155433432854	0.07361679781740517	0.6552969821589396	0.004135974340175432	0.11020804093935238	0.07431439169097412	0.020136557069727595	0.03228240253832047	0.0033411166758009177
44918	0.9996594939042865	0.000340506093786544	0.07217553380039146	3.968121467453868e-22	0.00033491378609499693	0.0003746498260819473	0.07146597018628753	0.6568596531387261	0.003976261004429132	0.10878639732059728	0.07560837504652936	0.021106854785073518	0.03220566481106238	0.0033289593978017245
44919	0.999673852387178	0.0003261475933110069	0.07006874047675683	3.6886711926537726e-24	0.00030714254452098336	0.000378954673026711	0.06938264323969809	0.6580638265130745	0.003814381573068736	0.10743858716255383	0.07707234676672424	0.02209081614453401	0.03213267633609027	0.00331562937181069
44920	0.9996819475150299	0.0003180523317229637	0.06801565454931116	0.0	0.00027996039509238404	0.00038145958209329897	0.06735423441887838	0.6589005230235864	0.003649205108387261	0.10616349247746029	0.078716225734523	0.023090087141280764	0.03206860950583484	0.0032999438445086428
44921	0.9996856218227852	0.000314377225274676	0.06601364095755984	0.0	0.00025572172179865024	0.0003825003460388365	0.06537541793778212	0.659359346770496	0.0034830216510599405	0.10495262352304455	0.08054715277834872	0.024107305037710077	0.03202393685019827	0.003281231618516061
44922	0.9996865713458599	0.0003134238897307317	0.06406837304168202	0.0	0.00023603996498722604	0.0003826816418402639	0.06344964667044513	0.6594242335843614	0.0033216169038625706	0.10379242400470703	0.08257208635582236	0.02514503346232	0.03201164429779432	0.0032594612345949597
44923	0.9996858592236849	0.0003141212107159924	0.06218949594469844	0.0	0.0002216845329594625	0.00038275560215860215	0.06158503624398127	0.6590740974901823	0.0031730680370380504	0.10266650435455195	0.08480144619463899	0.026206078017737354	0.03204399972062272	0.0032351381189355977
44924	0.9996839426406672	0.00031599025608158523	0.06038648041941063	0.0	0.0002127162915423865	0.00038352894306982384	0.05979016808154729	0.6582860461167491	0.003045600835609681	0.10155761694300985	0.08725140410207141	0.02729402875618118	0.032129901357000314	0.0032088967082775782
44925	0.999681002763843	0.0003188017956676377	0.058669085499561506	0.0	0.00020871937645544159	0.0003858326163934296	0.05807433806622317	0.6570399621925092	0.002945387154180306	0.1004493758044777	0.08994204787712726	0.02841262701468377	0.032273071845765486	0.003180965974018962
44926	0.9996772693498356	0.0003222398144804541	0.05705116569471892	0.0	0.0002089715852048447	0.0003905182495649448	0.05645118502426516	0.6553247950966654	0.002875187321017607	0.09932764367830911	0.09289123850669141	0.02956369313580889	0.03247099807733208	0.0031508245469086854
44927	0.9996731465949623	0.0003257756811985399	0.05555238643782635	0.0	0.00021252034826520306	0.0003983969336010333	0.05494039143212119	0.6531458272510682	0.0028341494821625293	0.09818135730323799	0.09610796704799895	0.030744844073860963	0.03271461432879488	0.003117242884524643
44928	0.9996691405646758	0.0003287637246495017	0.05419390770183111	0.0	0.00021826676531767146	0.000410068990319493	0.05356347623551932	0.6505292233355273	0.0028183871566087597	0.09700214617814641	0.09959108640439586	0.03194877758156247	0.032988956687536146	0.003078664537012016
44929	0.9996657081357561	0.00033063632639034524	0.052989288590294545	0.0	0.00022514670072359155	0.00042568625221058346	0.05233480009950683	0.6475192759253974	0.002821771136810741	0.09578192177779686	0.10333696722739746	0.03316508789438012	0.03327492543918315	0.0030337299729849437
44930	0.9996631391275892	0.00033106595904713415	0.051935758930041445	0.0	0.00023235310250090802	0.00044476513201036966	0.051252845782166497	0.6441674289951593	0.0028367139060531915	0.09450874543385251	0.10735340738472296	0.034383975331090916	0.03355178467313934	0.0029817693212925065
44931	0.9996615094719494	0.00033003143968882896	0.05101081223802028	0.0	0.00023944718799642558	0.0004661657993983426	0.05029674016226376	0.6405180975493289	0.0028550790451148857	0.09316332142002173	0.1116711528207475	0.03559989366707072	0.033799656927421165	0.0029231711399589073
44932	0.9996606923665142	0.00032779541996855443	0.05017587837023571	0.0	0.0002462794002057767	0.0004882678803502816	0.04942981887616255	0.6365991349202214	0.0028693053012178974	0.09171929293878454	0.11634386562989356	0.03681310096972604	0.034001512539523444	0.002859545064443633
44933	0.9996604062443347	0.0003248282947015744	0.04938540193236754	0.0	0.00025280298556446733	0.0005092743931170041	0.048608559092722256	0.632421578075269	0.002873522971475914	0.09014890398735508	0.12143364182959365	0.03802833822059514	0.03414466292451715	0.002793578321997978
44934	0.9996602812556673	0.0003217105658969242	0.048597763307937455	0.0	0.00025893760670945957	0.0005275370946405197	0.047793280428151674	0.6279864450271277	0.002864268820069941	0.08843255587767639	0.12698815893205553	0.03925160302014592	0.034221944348285877	0.0027285779850953814
44935	0.9996599244125709	0.0003190352235922239	0.047784291314903624	0.0	0.00026456364868006647	0.0005418216755694555	0.046956865626817286	0.6232911538405429	0.0028405622298287242	0.0865682368777929	0.13302136636543196	0.040487187575298386	0.03423262045982866	0.0026678770010297647
44936	0.9996589638659784	0.00031732930103316664	0.04693360784272982	0.0	0.00026959837161484135	0.0005514727442344637	0.046088829893892076	0.6183288444856893	0.0028034357219383086	0.0845760740927804	0.13950851253329397	0.041737170067408146	0.034182881084549886	0.0026143645323467375
44937	0.9996570600028231	0.00031701696704743057	0.04605026653388123	0.0	0.0002740529689675727	0.0005564703770538942	0.045193820157730366	0.6130808576859434	0.0027552630392150075	0.08249485804658915	0.14639822898830693	0.0430042020964787	0.03408578094720852	0.0025702622523415147
44938	0.9996538887198236	0.0003184333695221485	0.04514869595749115	0.0	0.0002780202314948619	0.0005573987975111621	0.04428559901783092	0.6075106367261406	0.002699252220902486	0.0803709332578512	0.1536339637273036	0.04429619803652125	0.03396047881609324	0.0025370383987913967
44939	0.9996491283162777	0.00032185927217297163	0.04424520271777282	0.0	0.0002816184522940759	0.0005553644752337013	0.043379207378695654	0.6015686990716823	0.0026392734797338027	0.07824385406390308	0.16117148072142956	0.04562968327749954	0.03383069865876342	0.002515258140506157
44940	0.9996424954609584	0.0003275148436191602	0.04335143922882045	0.0	0.000284944752935074	0.0005518770421142547	0.0424846277383487	0.5952104537201376	0.002579901543881717	0.07613528967900855	0.16898294896650481	0.04702861916714289	0.03372238225307697	0.002504288634849216
44941	0.999633851791266	0.00033547228202160324	0.04247183745636145	0.0	0.00028806572423991186	0.0005486580792826438	0.04160443772612644	0.5884172739073287	0.002526358320472105	0.07404586056735094	0.1770492405672895	0.04851802011058353	0.03366036594336389	0.0025019884538713473
44942	0.9996233471010467	0.0003455162764368942	0.04160545630299606	0.0	0.00029103392876541245	0.0005473456800400025	0.04073594007167418	0.5812058260163746	0.0024840519606478934	0.07195979144185675	0.18535211752224298	0.05011513305000521	0.03366372858721602	0.0025046427693931578
44943	0.9996115241893808	0.0003570368486182368	0.04075067828964218	0.0	0.0002938973617339444	0.000549152582684717	0.039876189383222585	0.5736169570514722	0.0024575726012775858	0.06985348499571048	0.1938776441828835	0.0518226094659418	0.03373990771436341	0.0025073687544788603
44944	0.9995993219905178	0.00036902958633850015	0.03991023518895151	0.0	0.00029667276322554374	0.0005546273138029953	0.03902728668877942	0.5656903619760626	0.0024492426459489795	0.06770421136183685	0.2026301239487075	0.05362655912684419	0.033879170676954895	0.002505015948139222
44945	0.9995879605808855	0.00038022110527678764	0.039094126733984935	0.0	0.00029927761834444507	0.0005636376488178615	0.03819939315298489	0.557443592452091	0.00245762955249248	0.06549734844544322	0.21164272905267809	0.05549921507144037	0.03405256345921632	0.0024933098961306657
44946	0.9995787289087534	0.0003892900169896588	0.0383186568076252	0.0	0.0003014491115190384	0.0005755456662931968	0.03740968095555616	0.548872971285259	0.0024767123957699522	0.06323160521325227	0.22096983163924827	0.05740400007713728	0.034216012838782464	0.002469799412344301
