country	time	s_hat	s_var	C_delta_vac	C_alpha_vac	C_delta_alpha	C_alpha_alpha	C_delta_delta	C_alpha_delta	new_cases_1	new_cases_2	R_inst	Fabs
FRANCE	44371	0.108	5.5e-06	0.2000280823489583	0.2321429332996002	0.01400631484979725	0.025270717129565138	0.00043212396204089565	0.00026758245859509456	3.66285697334904e-05	3.696334812291142e-05	1.003314380968606	0.0006498786212953033
FRANCE	44378	0.101	4.9e-06	0.23191513805639144	0.26914703942202134	0.013216381833961448	0.02453116407415468	0.0005362825608695925	0.00033036604712130904	3.0113104243209565e-05	5.878750895214395e-05	1.2436958374755323	0.04778349754422202
FRANCE	44385	0.091	5.8e-06	0.2610366357157673	0.30345664062405153	0.012443527978033601	0.023764572464040224	0.0007298458690544908	0.00045210134666456527	3.696334812291142e-05	0.00014267174343262197	1.4920114478180095	0.09647283290549206
FRANCE	44392	0.09	8.7e-06	0.28747939173197357	0.33514856860483533	0.011687473206243826	0.022969640018131936	0.0010408927100488653	0.0006496166727761466	5.878750895214395e-05	0.0002606376892663266	1.5424949704437125	0.10637156283210049
FRANCE	44399	0.084	1.65e-05	0.31335320089218505	0.3665044826978136	0.010974440863463086	0.02218064457684173	0.0021293108136530813	0.001370406324203407	0.00014267174343262197	0.00031854375638303803	1.2925991515389408	0.057372382654694264
SWITZERLAND	44340	0.088	4.35e-05	0.1343768247031197	0.1555771594521668	0.00854558886639849	0.013525241438621285	6.25410721758869e-05	3.8322674794801325e-05	0.00010700975264773895	9.028256377173074e-05	0.9380803073073064	-0.012141116214253653
SWITZERLAND	44347	0.098	3.21e-05	0.1597668508593875	0.18482717134766424	0.008519668663180076	0.01374166137412995	8.04040459867932e-05	4.930295109859527e-05	0.00010310045862821162	4.913253175485874e-05	0.7299978171254705	-0.05294160448520186
SWITZERLAND	44354	0.123	2.46e-05	0.1852779151677592	0.21446695848699385	0.008375432585545	0.013795229341832397	0.0001053293981876556	6.469288683189237e-05	9.028256377173074e-05	2.9708995431421137e-05	0.5950984419349733	-0.07939246236569152
SWITZERLAND	44361	0.146	1.98e-05	0.20927564108895472	0.24271894479904413	0.008111602228339248	0.013677945355269918	0.00013615022752502516	8.362502570269322e-05	4.913253175485874e-05	1.6481321327611082e-05	0.6020930174133341	-0.07802097697777763
SWITZERLAND	44368	0.156	1.84e-05	0.23384839581758146	0.27185626432376225	0.007759441095295248	0.013426675657911422	0.00016877057918384737	0.00010318287894746462	2.9708995431421137e-05	1.4661901469464691e-05	0.7427423451943882	-0.05044267741286505
SWITZERLAND	44375	0.156	2.08e-05	0.257532961965407	0.30028451120431376	0.0073567656067975535	0.01308735489601526	0.0002089192086367686	0.00012723877599759214	1.6481321327611082e-05	2.474247095378016e-05	1.148006932404553	0.029020967138147648
SWITZERLAND	44382	0.137	2.34e-05	0.282989709198914	0.33090792939022085	0.006943145274916188	0.012709733984953689	0.0002707554427300764	0.00016527226937570422	1.4661901469464691e-05	4.714920019778226e-05	1.4255092665791753	0.08343318952532851
IRELAND	44317	0.034	9.47e-05	0.07139671892800482	0.0826062001883903	0.009078753657861038	0.0162974454413374	2.3164863771136455e-05	1.531361593659641e-05	8.886097630733322e-05	8.448888439351886e-05	0.9816206548241564	-0.0036037931717340438
IRELAND	44324	0.028	5.6e-05	0.07942593230749677	0.09218104649013681	0.008919972799478811	0.016287947138845366	3.4984325361292056e-05	2.2879273816806403e-05	8.742750354870526e-05	8.686844917284015e-05	0.9976630986793709	-0.0004582159452213942
IRELAND	44331	0.045	4.32e-05	0.09550927076206829	0.11065012483103578	0.008756485132592662	0.016249330508185524	4.741143620217838e-05	3.0634266578266086e-05	8.448888439351886e-05	8.564999732800654e-05	1.004972213490037	0.0009749438215758679
IRELAND	44338	0.079	3.4e-05	0.11525991461480249	0.13326986065505725	0.00861373680883369	0.01621475294581691	6.311060488360105e-05	4.038644811203855e-05	8.686844917284015e-05	8.34567840073061e-05	0.9854045450525185	-0.0028618539112708783
IRELAND	44345	0.109	2.61e-05	0.1365785102231431	0.1578279689371788	0.008439128633520537	0.016115489183250318	8.376663776977055e-05	5.3215260022302475e-05	8.564999732800654e-05	7.429689307967518e-05	0.948198550077785	-0.010157147043571565
IRELAND	44352	0.123	2.16e-05	0.1536032413290898	0.1779029436445754	0.008254385527598126	0.015979600120453102	0.0001315457156296315	8.413689320090798e-05	8.34567840073061e-05	6.391855030721063e-05	0.9028379621172689	-0.019051379977006115
IRELAND	44359	0.129	1.37e-05	0.17361157476164976	0.20140484777751988	0.00796319948903805	0.015680088695872275	0.00022532810958849386	0.00014537559776578405	7.429689307967518e-05	6.351717793479492e-05	0.9428950278821367	-0.01119705335644378
IRELAND	44366	0.123	1.08e-05	0.2153346049357358	0.24886986585915333	0.00762030308104131	0.015286806980673584	0.000390916496664827	0.00025351320887167004	6.391855030721063e-05	8.216665852454202e-05	1.0914867085739293	0.017938570308613577
IRELAND	44373	0.115	1.11e-05	0.25610155657676603	0.29569625664171534	0.0072452679935507735	0.01482521024907322	0.0006247703816902257	0.0004047736901416708	6.351717793479492e-05	0.00010074446547635719	1.1680365770248744	0.03294834843624988
IRELAND	44380	0.109	1.69e-05	0.29168930835226103	0.33726720612401156	0.0068692367050207604	0.014336551091493387	0.001097362903921878	0.0007142199121439645	8.216665852454202e-05	0.00013742703336964038	1.1873679907898234	0.036738821723494776
IRELAND	44387	0.11	2.58e-05	0.33304901768421236	0.38555317810623096	0.006460060779591085	0.013779710656329639	0.0016303495716640172	0.0010552036525160375	0.00010074446547635719	0.00020862762529067877	1.2651867762828701	0.05199740711428826
NETHERLANDS	44339	0.101	2.78e-05	0.11293082814267119	0.12902075181387584	0.01732500598886498	0.027103090044447862	0.0001325244739445684	8.357045092047831e-05	0.0002626533942323636	0.00014814702913422902	0.7913990533542916	-0.040902146401119284
NETHERLANDS	44346	0.102	1.55e-05	0.14134599694789107	0.16128091052209836	0.017248900344573423	0.027514076577389246	0.00017866954597710509	0.00011248829976233877	0.00020213929667287179	0.00010083880550087822	0.7466634048987517	-0.04967384217671535
NETHERLANDS	44353	0.111	1.08e-05	0.17427710595198093	0.19877036111257368	0.016919152616209014	0.027577948208958057	0.00025404987806711224	0.0001603753659889034	0.00014814702913422902	6.324677761286689e-05	0.6899341921169582	-0.06079721723196901
NETHERLANDS	44360	0.122	7e-06	0.203865543350952	0.23294379837477885	0.01634509339116195	0.027295453709801132	0.0003418527695620407	0.00021524115248249058	0.00010083880550087822	4.2886855449577165e-05	0.6885510588913204	-0.06106841982523131
NETHERLANDS	44367	0.125	5.6e-06	0.23280024381142975	0.2667236488560754	0.01563840708950038	0.026803995631705317	0.00043347175872080753	0.00027105894952933083	6.324677761286689e-05	4.630582501407636e-05	0.8864243055782604	-0.022269744004262678
NETHERLANDS	44374	0.125	5.9e-06	0.26091371852344825	0.2999305267685095	0.014853643619865856	0.026168573766694528	0.000540459111534974	0.0003356671323723057	4.2886855449577165e-05	0.0002208105307057659	1.5969694357220257	0.11705283053373051
NETHERLANDS	44381	0.122	8.3e-06	0.28552287110345603	0.3296337277674633	0.014053821396288805	0.025467225429757694	0.0007651675029930844	0.00047863296958522216	4.630582501407636e-05	0.00048607182508039255	1.856468003767878	0.16793490269958394
NETHERLANDS	44388	0.114	2.18e-05	0.3047498193798843	0.353735606850217	0.013372016705870255	0.02487285091060755	0.0025769183176621016	0.0016994061106890173	0.0002208105307057659	0.00045986388441626724	1.2672493022443556	0.052401823969481495
NY	44320	0.061	6.58e-05	0.2726362177090445	0.31321280292270975	0.002429803964057416	0.0036307377342945663	1.9828608742519744e-05	1.2884322043334356e-05	0.00010063027008167366	6.051606017033899e-05	0.8147445688953046	-0.036324594334254
NY	44327	0.054	4.66e-05	0.2988970850848555	0.3449574416323615	0.002504240284628558	0.0038044794519059085	2.8854432559710993e-05	1.8629800979565684e-05	7.957075185938035e-05	4.5937753650777064e-05	0.7998762594558639	-0.03923994912630118
NY	44334	0.067	3.33e-05	0.3139703908605277	0.3647946711621245	0.0025354738974012214	0.003922932257577967	3.828686425240911e-05	2.447716232827827e-05	6.051606017033899e-05	3.119679806502498e-05	0.7586267177796353	-0.0473280945530127
NY	44341	0.085	2.76e-05	0.3250497172458896	0.380487008771867	0.0025203586582455955	0.003980212426232167	4.7304348320641386e-05	2.9865439099879713e-05	4.5937753650777064e-05	1.991036721117017e-05	0.6954401171822184	-0.05971762408191796
NY	44348	0.101	2.7e-05	0.3296758716399938	0.3892948604804644	0.0024610973925630083	0.003977361076084192	5.6634177522208244e-05	3.530351795521751e-05	3.119679806502498e-05	1.3535230986389773e-05	0.6958143342349166	-0.05964424818923204
NY	44355	0.117	3.3e-05	0.3340085839186053	0.39786506617560036	0.00237227285078287	0.003931785953471746	6.997228992126301e-05	4.33138334256717e-05	1.991036721117017e-05	9.25685337574918e-06	0.7210021762998335	-0.054705455627483635
NY	44362	0.128	3.03e-05	0.33986383159133504	0.40817661711305747	0.0022674924864045324	0.003860222285621014	8.64048730081289e-05	5.317096971706272e-05	1.3535230986389773e-05	7.358102320448213e-06	0.7779700697489844	-0.04353528044137561
NY	44369	0.133	3.78e-05	0.343497769391765	0.41614419747757947	0.002154000615510059	0.0037712168294784048	0.00010400805714215288	6.351092904881998e-05	9.25685337574918e-06	7.496000441783208e-06	0.9231376891500523	-0.015071041343126996
NY	44376	0.148	5.92e-05	0.3452659990855459	0.4220800626727396	0.0020370144068979205	0.003670904760104133	0.00012815002923121779	7.801261835104745e-05	7.358102320448213e-06	1.0108993048611836e-05	1.1157056547311575	0.0226873832806191
USA	44318	0.059	2.8e-06	0.25825313758537227	0.29837552454285987	0.003964787185551184	0.005872757433108459	4.074181023671786e-05	2.4348318338748457e-05	0.00016106939204389614	0.00011159409724672612	0.8663191197999718	-0.026211937294123182
USA	44325	0.068	2e-06	0.2770077459327958	0.3217944300412173	0.004188971757718445	0.00629170045783938	5.358062666975008e-05	3.243409991456064e-05	0.00013576714333887047	8.82335706862156e-05	0.843009713981226	-0.030782409023289027
USA	44332	0.084	1.6e-06	0.29077278732500356	0.33999363669849314	0.004319395618191426	0.006592834761460298	6.890965305036122e-05	4.1984284661421296e-05	0.00011159409724672612	6.83677148759647e-05	0.8215118582168759	-0.03499767485943609
USA	44339	0.099	1.3e-06	0.29993722262087746	0.3533503385974828	0.004354244264797556	0.00677066820964723	8.86818848425705e-05	5.4273425821446904e-05	8.82335706862156e-05	5.2039655357527924e-05	0.8076638895584141	-0.03771296283168353
USA	44346	0.107	1.1e-06	0.30288367322502213	0.3600451354684666	0.004323651026884515	0.006861540467474167	0.0001200120204676314	7.404912832671074e-05	6.83677148759647e-05	4.3288174191493033e-05	0.8335136969291403	-0.03264437315114896
USA	44353	0.108	9e-07	0.3050978125974609	0.3659918481303092	0.00421818707753561	0.006849889398669869	0.00016526914620179777	0.00010275869315479403	5.2039655357527924e-05	3.891661742967083e-05	0.8941441492667895	-0.020756049163374594
